CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0164,1.0,C0085,1.0,C0127,1.0
C0002,C0157,1.0,C0094,1.0,C0029,1.0
C0003,C0111,1.0,C0160,0.99,C0147,0.99
C0004,C0162,1.0,C0165,1.0,C0175,1.0
C0005,C0080,1.0,C0167,1.0,C0177,1.0
C0006,C0079,1.0,C0117,1.0,C0196,0.99
C0007,C0146,1.0,C0125,1.0,C0061,1.0
C0008,C0109,1.0,C0136,1.0,C0124,1.0
C0009,C0015,1.0,C0131,1.0,C0193,1.0
C0010,C0176,1.0,C0027,0.99,C0055,0.98
C0011,C0139,1.0,C0096,1.0,C0171,1.0
C0012,C0101,1.0,C0156,1.0,C0093,1.0
C0013,C0067,1.0,C0138,1.0,C0141,1.0
C0014,C0192,1.0,C0159,1.0,C0186,1.0
C0015,C0009,1.0,C0131,1.0,C0120,1.0
C0016,C0154,1.0,C0026,1.0,C0040,1.0
C0017,C0075,1.0,C0179,1.0,C0039,1.0
C0018,C0045,1.0,C0041,1.0,C0068,1.0
C0019,C0142,1.0,C0174,1.0,C0076,1.0
C0020,C0058,1.0,C0193,1.0,C0198,1.0
C0021,C0155,1.0,C0188,1.0,C0114,1.0
C0022,C0141,1.0,C0138,1.0,C0067,1.0
C0023,C0100,1.0,C0064,1.0,C0011,1.0
C0024,C0084,1.0,C0195,1.0,C0124,1.0
C0025,C0199,1.0,C0056,1.0,C0062,1.0
C0026,C0154,1.0,C0016,1.0,C0040,0.99
C0027,C0176,1.0,C0055,0.99,C0010,0.99
C0028,C0153,1.0,C0065,1.0,C0093,1.0
C0029,C0166,1.0,C0094,1.0,C0002,1.0
C0030,C0038,1.0,C0086,1.0,C0047,1.0
C0031,C0121,1.0,C0073,1.0,C0157,1.0
C0032,C0071,1.0,C0052,1.0,C0151,1.0
C0033,C0060,1.0,C0112,1.0,C0129,1.0
C0034,C0181,0.99,C0091,0.99,C0098,0.94
C0035,C0083,1.0,C0112,1.0,C0060,1.0
C0036,C0133,1.0,C0119,1.0,C0132,1.0
C0037,C0170,1.0,C0051,1.0,C0022,1.0
C0038,C0086,1.0,C0030,1.0,C0047,1.0
C0039,C0169,1.0,C0113,1.0,C0179,1.0
C0040,C0016,1.0,C0154,0.99,C0026,0.99
C0041,C0068,1.0,C0156,1.0,C0018,1.0
C0042,C0089,1.0,C0092,1.0,C0085,1.0
C0043,C0132,1.0,C0119,1.0,C0052,1.0
C0044,C0184,1.0,C0152,1.0,C0115,1.0
C0045,C0018,1.0,C0041,1.0,C0068,1.0
C0046,C0053,1.0,C0087,1.0,C0182,1.0
C0047,C0106,1.0,C0086,1.0,C0038,1.0
C0048,C0183,1.0,C0187,1.0,C0117,0.99
C0049,C0161,1.0,C0134,1.0,C0098,1.0
C0050,C0074,1.0,C0137,1.0,C0115,1.0
C0051,C0170,1.0,C0171,1.0,C0037,1.0
C0052,C0071,1.0,C0032,1.0,C0043,1.0
C0053,C0182,1.0,C0046,1.0,C0087,1.0
C0054,C0105,1.0,C0082,1.0,C0149,1.0
C0055,C0174,1.0,C0019,1.0,C0142,1.0
C0056,C0062,1.0,C0025,1.0,C0199,1.0
C0057,C0102,1.0,C0173,1.0,C0194,1.0
C0058,C0193,1.0,C0020,1.0,C0198,1.0
C0059,C0114,1.0,C0188,1.0,C0155,1.0
C0060,C0112,1.0,C0033,1.0,C0035,1.0
C0061,C0178,1.0,C0140,1.0,C0146,1.0
C0062,C0056,1.0,C0025,1.0,C0199,1.0
C0063,C0150,1.0,C0191,1.0,C0180,1.0
C0064,C0023,1.0,C0126,1.0,C0100,1.0
C0065,C0093,1.0,C0028,1.0,C0153,1.0
C0066,C0158,1.0,C0026,0.99,C0154,0.99
C0067,C0013,1.0,C0138,1.0,C0141,1.0
C0068,C0156,1.0,C0041,1.0,C0012,1.0
C0069,C0140,1.0,C0178,1.0,C0078,1.0
C0070,C0189,1.0,C0172,1.0,C0077,1.0
C0071,C0032,1.0,C0052,1.0,C0151,1.0
C0072,C0106,1.0,C0047,1.0,C0086,1.0
C0073,C0121,1.0,C0031,1.0,C0088,1.0
C0074,C0050,1.0,C0137,1.0,C0115,1.0
C0075,C0017,1.0,C0179,1.0,C0039,1.0
C0076,C0166,1.0,C0029,1.0,C0094,1.0
C0077,C0144,1.0,C0172,1.0,C0070,1.0
C0078,C0123,1.0,C0167,1.0,C0069,1.0
C0079,C0006,1.0,C0117,1.0,C0196,0.99
C0080,C0177,1.0,C0005,1.0,C0167,1.0
C0081,C0136,1.0,C0109,0.99,C0008,0.99
C0082,C0200,1.0,C0054,1.0,C0099,1.0
C0083,C0035,1.0,C0112,1.0,C0060,1.0
C0084,C0195,1.0,C0024,1.0,C0124,1.0
C0085,C0042,1.0,C0089,1.0,C0001,1.0
C0086,C0038,1.0,C0047,1.0,C0030,1.0
C0087,C0046,1.0,C0057,1.0,C0053,1.0
C0088,C0189,1.0,C0070,1.0,C0172,1.0
C0089,C0042,1.0,C0092,1.0,C0085,1.0
C0090,C0175,1.0,C0165,1.0,C0162,1.0
C0091,C0181,1.0,C0034,0.99,C0081,0.93
C0092,C0089,1.0,C0042,1.0,C0103,1.0
C0093,C0065,1.0,C0101,1.0,C0028,1.0
C0094,C0029,1.0,C0166,1.0,C0002,1.0
C0095,C0097,1.0,C0128,1.0,C0110,1.0
C0096,C0139,1.0,C0171,1.0,C0011,1.0
C0097,C0095,1.0,C0110,1.0,C0128,1.0
C0098,C0134,1.0,C0161,1.0,C0049,1.0
C0099,C0200,1.0,C0082,1.0,C0054,1.0
C0100,C0023,1.0,C0011,1.0,C0064,1.0
C0101,C0093,1.0,C0012,1.0,C0065,1.0
C0102,C0173,1.0,C0194,1.0,C0057,1.0
C0103,C0125,1.0,C0007,1.0,C0092,1.0
C0104,C0122,1.0,C0148,1.0,C0163,1.0
C0105,C0149,1.0,C0054,1.0,C0082,1.0
C0106,C0047,1.0,C0072,1.0,C0086,1.0
C0107,C0040,0.99,C0016,0.98,C0154,0.97
C0108,C0149,1.0,C0105,1.0,C0059,1.0
C0109,C0136,1.0,C0008,1.0,C0124,1.0
C0110,C0014,1.0,C0192,1.0,C0159,1.0
C0111,C0160,1.0,C0147,1.0,C0003,1.0
C0112,C0060,1.0,C0035,1.0,C0083,1.0
C0113,C0169,1.0,C0039,1.0,C0179,1.0
C0114,C0188,1.0,C0059,1.0,C0155,1.0
C0115,C0137,1.0,C0050,1.0,C0074,1.0
C0116,C0197,1.0,C0199,1.0,C0025,1.0
C0117,C0187,1.0,C0006,1.0,C0079,1.0
C0118,C0185,1.0,C0152,1.0,C0184,1.0
C0119,C0133,1.0,C0036,1.0,C0132,1.0
C0120,C0130,1.0,C0131,1.0,C0015,1.0
C0121,C0031,1.0,C0073,1.0,C0088,1.0
C0122,C0104,1.0,C0148,1.0,C0163,1.0
C0123,C0078,1.0,C0167,1.0,C0005,1.0
C0124,C0024,1.0,C0084,1.0,C0195,1.0
C0125,C0103,1.0,C0007,1.0,C0146,1.0
C0126,C0064,1.0,C0023,0.99,C0100,0.99
C0127,C0164,1.0,C0001,1.0,C0135,1.0
C0128,C0180,1.0,C0095,1.0,C0063,1.0
C0129,C0186,1.0,C0159,1.0,C0192,1.0
C0130,C0120,1.0,C0191,1.0,C0131,1.0
C0131,C0015,1.0,C0120,1.0,C0009,1.0
C0132,C0119,1.0,C0043,1.0,C0133,1.0
C0133,C0036,1.0,C0119,1.0,C0132,1.0
C0134,C0161,1.0,C0098,1.0,C0049,1.0
C0135,C0127,1.0,C0164,1.0,C0001,1.0
C0136,C0109,1.0,C0008,1.0,C0124,1.0
C0137,C0115,1.0,C0050,1.0,C0074,1.0
C0138,C0141,1.0,C0067,1.0,C0022,1.0
C0139,C0096,1.0,C0011,1.0,C0171,1.0
C0140,C0178,1.0,C0061,1.0,C0069,1.0
C0141,C0138,1.0,C0022,1.0,C0067,1.0
C0142,C0019,1.0,C0076,1.0,C0174,1.0
C0143,C0145,1.0,C0194,1.0,C0173,1.0
C0144,C0077,1.0,C0172,1.0,C0070,1.0
C0145,C0194,1.0,C0173,1.0,C0102,1.0
C0146,C0007,1.0,C0061,1.0,C0125,1.0
C0147,C0160,1.0,C0190,1.0,C0111,1.0
C0148,C0104,1.0,C0122,1.0,C0163,1.0
C0149,C0105,1.0,C0054,1.0,C0108,1.0
C0150,C0191,1.0,C0063,1.0,C0130,1.0
C0151,C0032,1.0,C0071,1.0,C0052,1.0
C0152,C0184,1.0,C0044,1.0,C0185,1.0
C0153,C0028,1.0,C0065,1.0,C0093,1.0
C0154,C0026,1.0,C0016,1.0,C0040,0.99
C0155,C0188,1.0,C0114,1.0,C0021,1.0
C0156,C0068,1.0,C0012,1.0,C0041,1.0
C0157,C0002,1.0,C0094,1.0,C0029,1.0
C0158,C0066,1.0,C0026,0.98,C0154,0.97
C0159,C0192,1.0,C0014,1.0,C0186,1.0
C0160,C0147,1.0,C0111,1.0,C0190,1.0
C0161,C0134,1.0,C0098,1.0,C0049,1.0
C0162,C0004,1.0,C0165,1.0,C0175,1.0
C0163,C0122,1.0,C0104,1.0,C0148,1.0
C0164,C0001,1.0,C0127,1.0,C0085,1.0
C0165,C0162,1.0,C0004,1.0,C0175,1.0
C0166,C0029,1.0,C0094,1.0,C0002,1.0
C0167,C0005,1.0,C0080,1.0,C0123,1.0
C0168,C0196,1.0,C0079,0.99,C0006,0.99
C0169,C0039,1.0,C0113,1.0,C0179,1.0
C0170,C0037,1.0,C0051,1.0,C0171,1.0
C0171,C0096,1.0,C0051,1.0,C0139,1.0
C0172,C0077,1.0,C0144,1.0,C0070,1.0
C0173,C0102,1.0,C0194,1.0,C0145,1.0
C0174,C0055,1.0,C0019,1.0,C0142,1.0
C0175,C0090,1.0,C0165,1.0,C0162,1.0
C0176,C0027,1.0,C0010,1.0,C0055,0.99
C0177,C0080,1.0,C0198,1.0,C0020,1.0
C0178,C0140,1.0,C0061,1.0,C0069,1.0
C0179,C0075,1.0,C0017,1.0,C0039,1.0
C0180,C0063,1.0,C0150,1.0,C0191,1.0
C0181,C0091,1.0,C0034,0.99,C0081,0.93
C0182,C0053,1.0,C0046,1.0,C0163,1.0
C0183,C0048,1.0,C0187,1.0,C0117,0.99
C0184,C0044,1.0,C0152,1.0,C0185,1.0
C0185,C0118,1.0,C0152,1.0,C0184,1.0
C0186,C0159,1.0,C0192,1.0,C0014,1.0
C0187,C0048,1.0,C0183,1.0,C0117,1.0
C0188,C0114,1.0,C0059,1.0,C0155,1.0
C0189,C0070,1.0,C0088,1.0,C0172,1.0
C0190,C0147,1.0,C0160,1.0,C0111,0.99
C0191,C0150,1.0,C0063,1.0,C0130,1.0
C0192,C0159,1.0,C0014,1.0,C0186,1.0
C0193,C0058,1.0,C0020,1.0,C0198,1.0
C0194,C0145,1.0,C0173,1.0,C0102,1.0
C0195,C0084,1.0,C0024,1.0,C0124,1.0
C0196,C0168,1.0,C0079,0.99,C0006,0.99
C0197,C0116,1.0,C0199,1.0,C0025,1.0
C0198,C0020,1.0,C0058,1.0,C0193,1.0
C0199,C0025,1.0,C0056,1.0,C0116,1.0
C0200,C0099,1.0,C0082,1.0,C0054,1.0
